date,home_team,away_team,home_score,away_score,tournament,year,label
2015-03-27,Curaçao,Montserrat,2.0,1.0,FIFA World Cup qualification,2015,1
2015-06-10,Antigua and Barbuda,Saint Lucia,1.0,3.0,FIFA World Cup qualification,2015,0
2015-06-11,Guam,Turkmenistan,1.0,0.0,FIFA World Cup qualification,2015,1
2015-06-11,India,Oman,1.0,2.0,FIFA World Cup qualification,2015,0
2015-06-11,Lebanon,Kuwait,0.0,1.0,FIFA World Cup qualification,2015,0
2015-06-11,Philippines,Bahrain,2.0,1.0,FIFA World Cup qualification,2015,1
2015-06-11,Saudi Arabia,Palestine,3.0,2.0,FIFA World Cup qualification,2015,1
2015-06-14,Antigua and Barbuda,Saint Lucia,4.0,1.0,FIFA World Cup qualification,2015,1
2015-06-15,Bermuda,Guatemala,0.0,1.0,FIFA World Cup qualification,2015,0
2015-06-16,Guam,India,2.0,1.0,FIFA World Cup qualification,2015,1
2015-06-16,North Korea,Uzbekistan,4.0,2.0,FIFA World Cup qualification,2015,1
2015-06-16,Kyrgyzstan,Australia,1.0,2.0,FIFA World Cup qualification,2015,0
2015-09-03,Bahrain,North Korea,0.0,1.0,FIFA World Cup qualification,2015,0
2015-09-03,Iran,Guam,6.0,0.0,FIFA World Cup qualification,2015,1
2015-09-03,Japan,Cambodia,3.0,0.0,FIFA World Cup qualification,2015,1
2015-09-03,Oman,Turkmenistan,3.0,1.0,FIFA World Cup qualification,2015,1
2015-09-04,Grenada,Haiti,1.0,3.0,FIFA World Cup qualification,2015,0
2015-09-04,Antigua and Barbuda,Guatemala,1.0,0.0,FIFA World Cup qualification,2015,1
2015-09-08,Cambodia,Syria,0.0,6.0,FIFA World Cup qualification,2015,0
2015-09-08,India,Iran,0.0,3.0,FIFA World Cup qualification,2015,0
2015-09-08,Lebanon,South Korea,0.0,3.0,FIFA World Cup qualification,2015,0
2015-09-08,Philippines,Uzbekistan,1.0,5.0,FIFA World Cup qualification,2015,0
2015-09-08,Guatemala,Antigua and Barbuda,2.0,0.0,FIFA World Cup qualification,2015,1
2015-09-08,Haiti,Grenada,3.0,0.0,FIFA World Cup qualification,2015,1
2015-10-08,Argentina,Ecuador,0.0,2.0,FIFA World Cup qualification,2015,0
2015-10-08,Bahrain,Uzbekistan,0.0,4.0,FIFA World Cup qualification,2015,0
2015-10-08,Bolivia,Uruguay,0.0,2.0,FIFA World Cup qualification,2015,0
