team,year,squad_size,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Albania,2015,23,25.043478260869566,180.4782608695652,74.6086956521739,54.21739130434783,49.95652173913044,51.52173913043478,60.69565217391305,49.65217391304348,56.78260869565217,52.60869565217392,49.78260869565217,52.34782608695652,61.869565217391305,66.73913043478261,66.91304347826087,68.04347826086956,64.73913043478261,67.52173913043478,63.65217391304348,67.47826086956522,65.73913043478261,64.04347826086956,53.04347826086956,61.95652173913044,51.130434782608695,54.391304347826086,55.04347826086956,53.60869565217392,,47.869565217391305,48.26086956521739,47.43478260869565,17.91304347826087,17.608695652173914,17.47826086956522,16.391304347826086,19.043478260869566
Algeria,2015,23,25.73913043478261,182.08695652173915,75.78260869565217,62.26086956521739,53.391304347826086,59.869565217391305,69.82608695652173,54.82608695652174,64.82608695652173,60.21739130434783,57.0,62.391304347826086,70.65217391304348,70.34782608695652,69.91304347826087,70.8695652173913,70.26086956521739,66.0,65.82608695652173,67.52173913043478,73.17391304347827,68.8695652173913,58.391304347826086,64.30434782608695,54.30434782608695,60.91304347826087,62.69565217391305,58.869565217391305,,45.69565217391305,51.60869565217392,46.65217391304348,13.608695652173912,11.826086956521738,12.173913043478262,12.173913043478262,13.08695652173913
Angola,2015,6,24.5,183.0,76.83333333333333,50.333333333333336,42.0,63.333333333333336,58.333333333333336,42.16666666666666,54.0,43.833333333333336,37.5,52.66666666666666,59.16666666666666,64.16666666666667,69.33333333333333,62.833333333333336,59.0,57.66666666666666,56.5,69.33333333333333,63.16666666666666,72.66666666666667,43.833333333333336,65.83333333333333,52.66666666666666,49.16666666666666,41.66666666666666,49.333333333333336,,49.66666666666666,52.16666666666666,48.833333333333336,9.833333333333334,10.166666666666666,10.166666666666666,9.333333333333334,8.833333333333334
Antigua and Barbuda,2015,4,23.75,178.75,72.75,51.0,44.75,57.0,54.5,40.25,61.25,47.25,35.5,45.5,59.25,75.0,74.75,67.0,54.5,70.25,52.0,72.5,68.25,64.0,41.0,51.75,42.0,50.25,47.0,55.0,,43.0,48.0,42.25,9.25,10.25,10.0,10.25,11.0
Argentina,2015,23,28.39130434782609,181.43478260869568,77.95652173913044,61.78260869565217,57.08695652173913,62.65217391304348,68.78260869565217,57.65217391304348,65.95652173913044,60.04347826086956,57.26086956521739,64.26086956521739,70.21739130434783,68.1304347826087,68.34782608695652,68.91304347826087,78.0,66.21739130434783,66.30434782608695,71.6086956521739,66.26086956521739,73.73913043478261,59.60869565217392,66.1304347826087,57.78260869565217,60.0,63.95652173913044,60.08695652173913,,52.26086956521739,57.95652173913044,55.69565217391305,17.565217391304348,18.52173913043478,18.17391304347826,18.91304347826087,18.782608695652176
Armenia,2015,6,27.83333333333333,179.33333333333334,74.5,56.66666666666666,65.0,50.333333333333336,58.333333333333336,63.833333333333336,68.5,57.16666666666666,54.0,52.333333333333336,66.16666666666667,72.66666666666667,72.66666666666667,68.33333333333333,70.66666666666667,66.0,65.66666666666667,65.33333333333333,65.0,64.83333333333333,65.33333333333333,53.833333333333336,40.16666666666666,64.66666666666667,56.5,59.833333333333336,,28.83333333333333,28.5,28.83333333333333,18.666666666666668,20.5,20.5,20.166666666666668,18.33333333333333
Australia,2015,23,25.30434782608696,181.0434782608696,77.8695652173913,55.52173913043478,48.60869565217392,54.08695652173913,60.78260869565217,46.95652173913044,54.65217391304348,51.130434782608695,42.26086956521739,54.56521739130435,59.65217391304348,67.95652173913044,68.47826086956522,64.1304347826087,66.52173913043478,64.43478260869566,59.08695652173913,70.08695652173913,67.6086956521739,69.1304347826087,52.869565217391305,59.130434782608695,51.0,52.60869565217392,54.95652173913044,53.95652173913044,,47.0,52.78260869565217,50.17391304347826,19.08695652173913,17.217391304347824,18.782608695652176,17.608695652173914,18.043478260869566
Austria,2015,23,25.608695652173918,184.30434782608697,78.65217391304348,55.78260869565217,53.0,58.52173913043478,63.17391304347826,54.0,61.91304347826087,56.56521739130435,51.65217391304348,55.78260869565217,64.30434782608695,69.21739130434783,71.17391304347827,67.95652173913044,70.47826086956522,62.34782608695652,66.1304347826087,66.52173913043478,70.69565217391305,72.26086956521739,58.21739130434783,62.34782608695652,52.56521739130435,59.34782608695652,59.56521739130435,54.391304347826086,,49.869565217391305,52.69565217391305,49.47826086956522,17.782608695652176,17.043478260869566,17.652173913043477,17.869565217391305,17.652173913043477
Azerbaijan,2015,2,23.0,184.5,79.0,59.0,48.5,51.5,61.0,55.0,63.0,58.5,48.0,55.0,65.0,72.0,73.0,61.0,59.0,53.0,72.0,46.0,72.0,72.0,54.5,64.0,53.5,60.5,52.0,55.5,,49.5,52.0,50.5,12.0,7.5,13.5,14.5,11.0
Bahrain,2015,1,33.0,181.0,81.0,32.0,30.0,73.0,40.0,24.0,29.0,23.0,29.0,32.0,41.0,54.0,68.0,53.0,62.0,51.0,49.0,74.0,67.0,86.0,29.0,69.0,70.0,35.0,40.0,34.0,,72.0,70.0,66.0,14.0,14.0,10.0,15.0,10.0
